Episode,Score,Success,Fish,Difficulty,Behavior,Episode_Length,Epsilon,Win_Streak,Avg_Score_100,Win_Rate_100,Easy_Success_Rate,Medium_Success_Rate,Hard_Success_Rate
21,-11.30,0,Smallmouth Bass,28,mixed,354,0.2000,0,-12.54,4.8,0.0,0.0,0.0
22,65.21,1,Sunfish,30,mixed,1440,0.2000,1,-9.01,9.1,4.5,0.0,0.0
23,19.12,0,Smallmouth Bass,28,mixed,1205,0.2000,0,-7.79,13.0,4.3,0.0,0.0
24,-3.51,0,Herring,25,dart,492,0.2000,0,-7.61,12.5,4.2,0.0,0.0
25,54.75,1,Sardine,30,dart,703,0.2000,1,-5.11,16.0,8.0,0.0,0.0
26,48.78,1,Smallmouth Bass,28,mixed,518,0.2000,2,-3.04,19.2,11.5,0.0,0.0
27,70.14,1,Perch,35,dart,893,0.2000,3,-0.33,22.2,14.8,0.0,0.0
28,-19.68,0,Sea Cucumber,40,sinker,167,0.2000,0,-1.02,21.4,14.3,0.0,0.0
29,56.57,1,Smallmouth Bass,28,mixed,720,0.2000,1,0.96,24.1,17.2,0.0,0.0
30,49.02,1,Smallmouth Bass,28,mixed,383,0.2000,2,2.57,26.7,20.0,0.0,0.0
31,83.33,1,Red Snapper,40,mixed,663,0.2000,3,5.17,29.0,22.6,0.0,0.0
32,51.24,1,Smallmouth Bass,28,mixed,320,0.2000,4,6.61,31.2,25.0,0.0,0.0
33,61.94,1,Red Snapper,40,mixed,323,0.2000,5,8.29,33.3,27.3,0.0,0.0
34,50.83,1,Anchovy,30,dart,335,0.2000,6,9.54,35.3,29.4,0.0,0.0
35,46.49,1,Smallmouth Bass,28,mixed,323,0.2000,7,10.59,37.1,31.4,0.0,0.0
36,45.84,1,Sardine,30,dart,328,0.2000,8,11.57,38.9,33.3,0.0,0.0
37,61.38,1,Red Snapper,40,mixed,325,0.2000,9,12.92,40.5,35.1,0.0,0.0
38,50.57,1,Sardine,30,dart,350,0.2000,10,13.91,42.1,36.8,0.0,0.0
39,26.72,1,Carp,15,mixed,325,0.2000,11,14.24,43.6,38.5,0.0,0.0
40,64.95,1,Red Snapper,40,mixed,335,0.2000,12,15.51,45.0,40.0,0.0,0.0
41,53.36,1,Chub,35,dart,340,0.2000,13,16.43,46.3,41.5,0.0,0.0
42,66.21,1,Sea Cucumber,40,sinker,540,0.2000,14,17.62,47.6,42.9,0.0,0.0
43,53.12,1,Perch,35,dart,413,0.2000,15,18.44,48.8,44.2,0.0,0.0
44,52.92,1,Chub,35,dart,338,0.2000,16,19.22,50.0,45.5,0.0,0.0
45,61.94,1,Sea Cucumber,40,sinker,335,0.2000,17,20.17,51.1,46.7,0.0,0.0
46,47.30,1,Smallmouth Bass,28,mixed,333,0.2000,18,20.76,52.2,47.8,0.0,0.0
47,47.10,1,Smallmouth Bass,28,mixed,333,0.2000,19,21.32,53.2,48.9,0.0,0.0
48,59.13,1,Bream,35,smooth,328,0.2000,20,22.11,54.2,50.0,0.0,0.0
49,50.87,1,Sunfish,30,mixed,330,0.2000,21,22.70,55.1,51.0,0.0,0.0
50,74.48,1,Sea Cucumber,40,sinker,513,0.2000,22,23.73,56.0,52.0,0.0,0.0
51,50.26,1,Smallmouth Bass,28,mixed,325,0.2000,23,24.25,56.9,52.9,0.0,0.0
52,66.79,1,Red Snapper,40,mixed,330,0.2000,24,25.07,57.7,53.8,0.0,0.0
53,58.09,1,Chub,35,dart,330,0.2000,25,25.70,58.5,54.7,0.0,0.0
54,50.93,1,Smallmouth Bass,28,mixed,335,0.2000,26,26.16,59.3,55.6,0.0,0.0
55,57.19,1,Bream,35,smooth,323,0.2000,27,26.73,60.0,56.4,0.0,0.0
56,46.28,1,Sardine,30,dart,353,0.2000,28,27.08,60.7,57.1,0.0,0.0
57,57.84,1,Bream,35,smooth,338,0.2000,29,27.62,61.4,57.9,0.0,0.0
58,49.37,1,Sardine,30,dart,330,0.2000,30,27.99,62.1,58.6,0.0,0.0
59,32.62,1,Carp,15,mixed,340,0.2000,31,28.07,62.7,59.3,0.0,0.0
60,29.76,1,Carp,15,mixed,323,0.2000,32,28.10,63.3,60.0,0.0,0.0
61,45.78,1,Smallmouth Bass,28,mixed,318,0.2000,33,28.39,63.9,60.7,0.0,0.0
62,62.47,1,Red Snapper,40,mixed,323,0.2000,34,28.94,64.5,61.3,0.0,0.0
63,43.37,1,Herring,25,dart,320,0.2000,35,29.17,65.1,61.9,0.0,0.0
64,57.80,1,Bream,35,smooth,340,0.2000,36,29.61,65.6,62.5,0.0,0.0
65,48.28,1,Anchovy,30,dart,325,0.2000,37,29.90,66.2,63.1,0.0,0.0
66,69.46,1,Red Snapper,40,mixed,335,0.2000,38,30.50,66.7,63.6,0.0,0.0
67,68.53,1,Red Snapper,40,mixed,325,0.2000,39,31.07,67.2,64.2,0.0,0.0
68,62.04,1,Sea Cucumber,40,sinker,318,0.2000,40,31.52,67.6,64.7,0.0,0.0
69,60.52,1,Red Snapper,40,mixed,325,0.2000,41,31.94,68.1,65.2,0.0,0.0
70,71.05,1,Sea Cucumber,40,sinker,453,0.2000,42,32.50,68.6,65.7,0.0,0.0
71,58.54,1,Perch,35,dart,330,0.2000,43,32.87,69.0,66.2,0.0,0.0
72,48.01,1,Sunfish,30,mixed,318,0.2000,44,33.08,69.4,66.7,0.0,0.0
73,44.29,1,Smallmouth Bass,28,mixed,318,0.2000,45,33.23,69.9,67.1,0.0,0.0
74,46.81,1,Anchovy,30,dart,350,0.2000,46,33.42,70.3,67.6,0.0,0.0
75,30.58,1,Carp,15,mixed,328,0.2000,47,33.38,70.7,68.0,0.0,0.0
76,48.18,1,Sardine,30,dart,323,0.2000,48,33.57,71.1,68.4,0.0,0.0
77,53.95,1,Sunfish,30,mixed,323,0.2000,49,33.84,71.4,68.8,0.0,0.0
78,37.12,1,Herring,25,dart,343,0.2000,50,33.88,71.8,69.2,0.0,0.0
79,42.29,1,Herring,25,dart,325,0.2000,51,33.99,72.2,69.6,0.0,0.0
80,60.99,1,Perch,35,dart,328,0.2000,52,34.32,72.5,70.0,0.0,0.0
81,59.20,1,Chub,35,dart,320,0.2000,53,34.63,72.8,70.4,0.0,0.0
82,79.84,1,Sea Cucumber,40,sinker,605,0.2000,54,35.18,73.2,70.7,0.0,0.0
83,52.50,1,Sunfish,30,mixed,338,0.2000,55,35.39,73.5,71.1,0.0,0.0
84,56.12,1,Chub,35,dart,318,0.2000,56,35.64,73.8,71.4,0.0,0.0
85,48.34,1,Smallmouth Bass,28,mixed,325,0.2000,57,35.79,74.1,71.8,0.0,0.0
86,49.80,1,Smallmouth Bass,28,mixed,328,0.2000,58,35.95,74.4,72.1,0.0,0.0
87,68.83,1,Red Snapper,40,mixed,330,0.2000,59,36.33,74.7,72.4,0.0,0.0
88,59.24,1,Perch,35,dart,335,0.2000,60,36.59,75.0,72.7,0.0,0.0
89,49.00,1,Smallmouth Bass,28,mixed,330,0.2000,61,36.73,75.3,73.0,0.0,0.0
90,57.26,1,Bream,35,smooth,328,0.2000,62,36.96,75.6,73.3,0.0,0.0
91,49.83,1,Anchovy,30,dart,375,0.2000,63,37.10,75.8,73.6,0.0,0.0
92,51.14,1,Sardine,30,dart,325,0.2000,64,37.25,76.1,73.9,0.0,0.0
93,56.99,1,Perch,35,dart,373,0.2000,65,37.46,76.3,74.2,0.0,0.0
94,57.49,1,Bream,35,smooth,330,0.2000,66,37.68,76.6,74.5,0.0,0.0
95,52.55,1,Anchovy,30,dart,315,0.2000,67,37.83,76.8,74.7,0.0,0.0
96,58.72,1,Perch,35,dart,333,0.2000,68,38.05,77.1,75.0,0.0,0.0
97,60.99,1,Red Snapper,40,mixed,340,0.2000,69,38.29,77.3,75.3,0.0,0.0
98,70.01,1,Red Snapper,40,mixed,333,0.2000,70,38.61,77.6,75.5,0.0,0.0
99,46.85,1,Anchovy,30,dart,340,0.2000,71,38.69,77.8,75.8,0.0,0.0
100,52.08,1,Sunfish,30,mixed,325,0.2000,72,38.83,78.0,76.0,0.0,0.0
101,65.70,1,Red Snapper,40,mixed,448,0.1999,73,39.60,79.0,76.2,0.0,0.0
102,50.60,1,Smallmouth Bass,28,mixed,328,0.1999,74,40.28,80.0,76.5,0.0,0.0
103,50.96,1,Smallmouth Bass,28,mixed,333,0.1999,75,40.99,81.0,76.7,0.0,0.0
104,62.17,1,Sea Cucumber,40,sinker,335,0.1999,76,41.79,82.0,76.9,0.0,0.0
105,63.64,1,Sea Cucumber,40,sinker,348,0.1999,77,42.62,83.0,77.1,0.0,0.0
106,60.89,1,Perch,35,dart,328,0.1999,78,43.41,84.0,77.4,0.0,0.0
107,52.18,1,Anchovy,30,dart,330,0.1999,79,44.09,85.0,77.6,0.0,0.0
108,58.63,1,Chub,35,dart,333,0.1999,80,44.76,86.0,77.8,0.0,0.0
109,59.68,1,Bream,35,smooth,335,0.1999,81,45.46,87.0,78.0,0.0,0.0
110,59.67,1,Bream,35,smooth,330,0.1999,82,46.11,88.0,78.2,0.0,0.0
111,58.23,1,Bream,35,smooth,338,0.1999,83,46.83,89.0,78.4,0.0,0.0
112,48.46,1,Sardine,30,dart,333,0.1999,84,47.41,90.0,78.6,0.0,0.0
113,54.18,1,Sardine,30,dart,325,0.1999,85,47.92,90.0,78.8,0.0,0.0
114,39.41,1,Herring,25,dart,348,0.1999,86,48.44,91.0,78.9,0.0,0.0
115,56.70,1,Bream,35,smooth,335,0.1999,87,49.10,92.0,79.1,0.0,0.0
116,77.69,1,Sea Cucumber,40,sinker,595,0.1999,88,50.02,93.0,79.3,0.0,0.0
117,48.70,1,Sardine,30,dart,325,0.1999,89,50.62,94.0,79.5,0.0,0.0
118,53.84,1,Anchovy,30,dart,333,0.1999,90,51.29,95.0,79.7,0.0,0.0
119,53.99,1,Sunfish,30,mixed,330,0.1999,91,51.93,96.0,79.8,0.0,0.0
120,57.12,1,Perch,35,dart,328,0.1999,92,52.67,97.0,80.0,0.0,0.0
121,-19.12,0,Sea Cucumber,40,sinker,167,0.1999,0,52.59,97.0,79.3,0.0,0.0
122,41.54,1,Herring,25,dart,350,0.1999,1,52.36,97.0,79.5,0.0,0.0
123,55.35,1,Sardine,30,dart,328,0.1999,2,52.72,97.0,79.7,0.0,0.0
124,57.04,1,Bream,35,smooth,335,0.1999,3,53.33,98.0,79.8,0.0,0.0
125,55.77,1,Chub,35,dart,350,0.1999,4,53.34,98.0,80.0,0.0,0.0
126,60.32,1,Perch,35,dart,338,0.1999,5,53.45,98.0,80.2,0.0,0.0
127,71.37,1,Red Snapper,40,mixed,338,0.1999,6,53.46,98.0,80.3,0.0,0.0
128,55.51,1,Perch,35,dart,333,0.1999,7,54.22,99.0,80.5,0.0,0.0
129,59.64,1,Perch,35,dart,393,0.1999,8,54.25,99.0,80.6,0.0,0.0
130,56.52,1,Perch,35,dart,345,0.1999,9,54.32,99.0,80.8,0.0,0.0
131,47.76,1,Smallmouth Bass,28,mixed,323,0.1999,10,53.97,99.0,80.9,0.0,0.0
132,59.25,1,Perch,35,dart,325,0.1999,11,54.05,99.0,81.1,0.0,0.0
133,32.77,1,Carp,15,mixed,328,0.1999,12,53.75,99.0,81.2,0.0,0.0
134,30.31,1,Carp,15,mixed,325,0.1999,13,53.55,99.0,81.3,0.0,0.0
135,-18.74,0,Sea Cucumber,40,sinker,167,0.1999,0,52.90,98.0,80.7,0.0,0.0
136,54.47,1,Sunfish,30,mixed,350,0.1999,1,52.98,98.0,80.9,0.0,0.0
137,62.24,1,Sea Cucumber,40,sinker,345,0.1999,2,52.99,98.0,81.0,0.0,0.0
138,32.01,1,Carp,15,mixed,333,0.1999,3,52.81,98.0,81.2,0.0,0.0
139,52.25,1,Sunfish,30,mixed,323,0.1999,4,53.06,98.0,81.3,0.0,0.0
140,58.51,1,Perch,35,dart,330,0.1999,5,53.00,98.0,81.4,0.0,0.0
141,59.22,1,Red Snapper,40,mixed,368,0.1999,6,53.06,98.0,81.6,0.0,0.0
142,54.49,1,Sunfish,30,mixed,340,0.1999,7,52.94,98.0,81.7,0.0,0.0
143,49.74,1,Sardine,30,dart,340,0.1999,8,52.90,98.0,81.8,0.0,0.0
144,57.02,1,Perch,35,dart,340,0.1999,9,52.95,98.0,81.9,0.0,0.0
145,32.23,1,Carp,15,mixed,325,0.1999,10,52.65,98.0,82.1,0.0,0.0
146,53.32,1,Anchovy,30,dart,345,0.1999,11,52.71,98.0,82.2,0.0,0.0
147,51.48,1,Chub,35,dart,328,0.1999,12,52.75,98.0,82.3,0.0,0.0
148,46.08,1,Anchovy,30,dart,343,0.1999,13,52.62,98.0,82.4,0.0,0.0
149,31.90,1,Carp,15,mixed,328,0.1999,14,52.43,98.0,82.6,0.0,0.0
150,56.61,1,Perch,35,dart,345,0.1999,15,52.25,98.0,82.7,0.0,0.0
151,54.10,1,Sardine,30,dart,335,0.1999,16,52.29,98.0,82.8,0.0,0.0
152,54.00,1,Anchovy,30,dart,338,0.1999,17,52.16,98.0,82.9,0.0,0.0
153,58.35,1,Bream,35,smooth,338,0.1999,18,52.17,98.0,83.0,0.0,0.0
154,59.56,1,Perch,35,dart,368,0.1999,19,52.25,98.0,83.1,0.0,0.0
155,59.64,1,Bream,35,smooth,333,0.1999,20,52.28,98.0,83.2,0.0,0.0
156,-19.30,0,Sea Cucumber,40,sinker,167,0.1999,0,51.62,97.0,82.7,0.0,0.0
157,55.89,1,Sea Cucumber,40,sinker,328,0.1999,1,51.60,97.0,82.8,0.0,0.0
158,50.10,1,Anchovy,30,dart,340,0.1999,2,51.61,97.0,82.9,0.0,0.0
159,57.48,1,Bream,35,smooth,338,0.1999,3,51.86,97.0,83.0,0.0,0.0
160,57.16,1,Bream,35,smooth,335,0.1999,4,52.13,97.0,83.1,0.0,0.0
161,30.58,1,Carp,15,mixed,323,0.1999,5,51.98,97.0,83.2,0.0,0.0
162,55.09,1,Chub,35,dart,330,0.1999,6,51.91,97.0,83.3,0.0,0.0
163,68.42,1,Sea Cucumber,40,sinker,355,0.1999,7,52.16,97.0,83.4,0.0,0.0
164,53.22,1,Perch,35,dart,343,0.1999,8,52.11,97.0,83.5,0.0,0.0
165,68.98,1,Red Snapper,40,mixed,333,0.1999,9,52.32,97.0,83.6,0.0,0.0
166,50.31,1,Sunfish,30,mixed,333,0.1999,10,52.13,97.0,83.7,0.0,0.0
167,50.17,1,Smallmouth Bass,28,mixed,323,0.1999,11,51.94,97.0,83.8,0.0,0.0
168,52.52,1,Sardine,30,dart,328,0.1999,12,51.85,97.0,83.9,0.0,0.0
169,49.81,1,Smallmouth Bass,28,mixed,328,0.1999,13,51.74,97.0,84.0,0.0,0.0
170,54.30,1,Sunfish,30,mixed,328,0.1999,14,51.57,97.0,84.1,0.0,0.0
171,49.88,1,Anchovy,30,dart,325,0.1999,15,51.49,97.0,84.2,0.0,0.0
172,64.89,1,Sea Cucumber,40,sinker,340,0.1999,16,51.65,97.0,84.3,0.0,0.0
173,58.87,1,Perch,35,dart,318,0.1999,17,51.80,97.0,84.4,0.0,0.0
174,64.73,1,Red Snapper,40,mixed,343,0.1999,18,51.98,97.0,84.5,0.0,0.0
175,42.78,1,Herring,25,dart,365,0.1998,19,52.10,97.0,84.6,0.0,0.0
176,58.71,1,Bream,35,smooth,338,0.1998,20,52.21,97.0,84.7,0.0,0.0
177,53.00,1,Anchovy,30,dart,328,0.1998,21,52.20,97.0,84.7,0.0,0.0
178,31.67,1,Carp,15,mixed,333,0.1998,22,52.14,97.0,84.8,0.0,0.0
179,50.73,1,Anchovy,30,dart,330,0.1998,23,52.23,97.0,84.9,0.0,0.0
180,58.46,1,Perch,35,dart,325,0.1998,24,52.20,97.0,85.0,0.0,0.0
181,47.24,1,Herring,25,dart,325,0.1998,25,52.08,97.0,85.1,0.0,0.0
182,61.83,1,Perch,35,dart,330,0.1998,26,51.90,97.0,85.2,0.0,0.0
183,53.70,1,Sunfish,30,mixed,328,0.1998,27,51.91,97.0,85.2,0.0,0.0
184,43.86,1,Herring,25,dart,328,0.1998,28,51.79,97.0,85.3,0.0,0.0
185,32.07,1,Carp,15,mixed,330,0.1998,29,51.63,97.0,85.4,0.0,0.0
186,54.99,1,Chub,35,dart,325,0.1998,30,51.68,97.0,85.5,0.0,0.0
187,66.10,1,Sea Cucumber,40,sinker,340,0.1998,31,51.65,97.0,85.6,0.0,0.0
188,57.57,1,Chub,35,dart,343,0.1998,32,51.64,97.0,85.6,0.0,0.0
189,54.08,1,Sunfish,30,mixed,328,0.1998,33,51.69,97.0,85.7,0.0,0.0
190,59.88,1,Chub,35,dart,340,0.1998,34,51.71,97.0,85.8,0.0,0.0
191,60.25,1,Bream,35,smooth,335,0.1998,35,51.82,97.0,85.9,0.0,0.0
192,65.18,1,Sea Cucumber,40,sinker,348,0.1998,36,51.96,97.0,85.9,0.0,0.0
193,60.55,1,Chub,35,dart,333,0.1998,37,51.99,97.0,86.0,0.0,0.0
194,44.64,1,Herring,25,dart,330,0.1998,38,51.87,97.0,86.1,0.0,0.0
195,54.32,1,Sunfish,30,mixed,330,0.1998,39,51.88,97.0,86.2,0.0,0.0
196,66.91,1,Sea Cucumber,40,sinker,353,0.1998,40,51.96,97.0,86.2,0.0,0.0
197,59.56,1,Chub,35,dart,323,0.1998,41,51.95,97.0,86.3,0.0,0.0
198,29.16,1,Carp,15,mixed,333,0.1998,42,51.54,97.0,86.4,0.0,0.0
199,51.19,1,Anchovy,30,dart,335,0.1998,43,51.59,97.0,86.4,0.0,0.0
200,52.72,1,Anchovy,30,dart,338,0.1998,44,51.59,97.0,86.5,0.0,0.0
201,80.86,1,Tilapia,50,mixed,340,0.1998,45,51.74,97.0,86.5,100.0,0.0
202,28.70,1,Carp,15,mixed,353,0.1998,46,51.52,97.0,86.6,100.0,0.0
203,55.46,1,Sunfish,30,mixed,333,0.1998,47,51.57,97.0,86.6,100.0,0.0
204,-23.77,0,Blue Discus,60,dart,254,0.1998,0,50.71,96.0,86.6,50.0,0.0
205,68.09,1,Walleye,45,smooth,340,0.1998,1,50.75,96.0,86.6,66.7,0.0
206,54.24,1,Sunfish,30,mixed,333,0.1998,2,50.69,96.0,86.7,66.7,0.0
207,54.26,1,Sunfish,30,mixed,330,0.1998,3,50.71,96.0,86.8,66.7,0.0
208,31.70,1,Carp,15,mixed,345,0.1998,4,50.44,96.0,86.8,66.7,0.0
209,103.27,1,Goby,55,dart,575,0.1998,5,50.88,96.0,86.8,75.0,0.0
210,31.19,1,Carp,15,mixed,663,0.1998,6,50.59,96.0,86.9,75.0,0.0
211,53.39,1,Sardine,30,dart,330,0.1998,7,50.54,96.0,87.0,75.0,0.0
212,57.81,1,Chub,35,dart,330,0.1998,8,50.64,96.0,87.0,75.0,0.0
213,50.21,1,Smallmouth Bass,28,mixed,333,0.1998,9,50.60,96.0,87.1,75.0,0.0
214,87.95,1,Pike,60,dart,373,0.1998,10,51.08,96.0,87.1,80.0,0.0
215,-31.01,0,Sandfish,65,mixed,194,0.1998,0,50.20,95.0,87.1,66.7,0.0
216,63.21,1,Sea Cucumber,40,sinker,343,0.1998,1,50.06,95.0,87.1,66.7,0.0
217,54.74,1,Sunfish,30,mixed,335,0.1998,2,50.12,95.0,87.2,66.7,0.0
218,65.90,1,Sea Cucumber,40,sinker,338,0.1998,3,50.24,95.0,87.3,66.7,0.0
219,47.85,1,Smallmouth Bass,28,mixed,325,0.1998,4,50.18,95.0,87.3,66.7,0.0
220,44.22,1,Herring,25,dart,378,0.1998,5,50.05,95.0,87.4,66.7,0.0
221,60.46,1,Chub,35,dart,323,0.1998,6,50.85,96.0,87.4,66.7,0.0
222,49.71,1,Smallmouth Bass,28,mixed,325,0.1998,7,50.93,96.0,87.5,66.7,0.0
223,30.51,1,Carp,15,mixed,338,0.1998,8,50.68,96.0,87.6,66.7,0.0
224,54.13,1,Sardine,30,dart,343,0.1998,9,50.65,96.0,87.6,66.7,0.0
225,65.88,1,Sea Cucumber,40,sinker,333,0.1998,10,50.75,96.0,87.7,66.7,0.0
226,31.70,1,Carp,15,mixed,363,0.1997,11,50.46,96.0,87.7,66.7,0.0
227,60.09,1,Chub,35,dart,353,0.1997,12,50.35,96.0,87.8,66.7,0.0
228,49.96,1,Smallmouth Bass,28,mixed,333,0.1997,13,50.30,96.0,87.8,66.7,0.0
229,-26.85,0,Blue Discus,60,dart,167,0.1997,0,49.43,95.0,87.8,57.1,0.0
230,77.27,1,Walleye,45,smooth,333,0.1997,1,49.64,95.0,87.8,62.5,0.0
231,58.82,1,Bream,35,smooth,330,0.1997,2,49.75,95.0,87.9,62.5,0.0
232,60.08,1,Chub,35,dart,328,0.1997,3,49.76,95.0,87.9,62.5,0.0
233,59.98,1,Bream,35,smooth,328,0.1997,4,50.03,95.0,88.0,62.5,0.0
234,76.52,1,Shad,45,smooth,328,0.1997,5,50.49,95.0,88.0,66.7,0.0
235,51.30,1,Sardine,30,dart,338,0.1997,6,51.19,96.0,88.1,66.7,0.0
236,58.51,1,Perch,35,dart,323,0.1997,7,51.23,96.0,88.1,66.7,0.0
237,52.00,1,Sardine,30,dart,318,0.1997,8,51.13,96.0,88.2,66.7,0.0
238,80.72,1,Salmon,50,mixed,328,0.1997,9,51.62,96.0,88.2,70.0,0.0
239,92.41,1,Blue Discus,60,dart,378,0.1997,10,52.02,96.0,88.2,72.7,0.0
240,66.03,1,Red Snapper,40,mixed,320,0.1997,11,52.09,96.0,88.2,72.7,0.0
241,48.34,1,Anchovy,30,dart,325,0.1997,12,51.99,96.0,88.3,72.7,0.0
242,86.92,1,Blue Discus,60,dart,415,0.1997,13,52.31,96.0,88.3,75.0,0.0
243,54.27,1,Sunfish,30,mixed,338,0.1997,14,52.36,96.0,88.3,75.0,0.0
244,65.75,1,Red Snapper,40,mixed,323,0.1997,15,52.44,96.0,88.4,75.0,0.0
245,58.32,1,Chub,35,dart,323,0.1997,16,52.70,96.0,88.4,75.0,0.0
246,56.86,1,Sea Cucumber,40,sinker,343,0.1997,17,52.74,96.0,88.5,75.0,0.0
247,64.98,1,Sea Cucumber,40,sinker,330,0.1997,18,52.87,96.0,88.5,75.0,0.0
248,64.77,1,Sea Cucumber,40,sinker,330,0.1997,19,53.06,96.0,88.6,75.0,0.0
249,66.71,1,Sea Cucumber,40,sinker,333,0.1997,20,53.41,96.0,88.6,75.0,0.0
250,55.88,1,Chub,35,dart,323,0.1997,21,53.40,96.0,88.7,75.0,0.0
251,66.88,1,Red Snapper,40,mixed,330,0.1997,22,53.53,96.0,88.7,75.0,0.0
252,51.43,1,Sardine,30,dart,330,0.1997,23,53.50,96.0,88.8,75.0,0.0
253,85.05,1,Albacore,60,mixed,345,0.1997,24,53.77,96.0,88.8,76.9,0.0
254,50.33,1,Smallmouth Bass,28,mixed,325,0.1997,25,53.68,96.0,88.8,76.9,0.0
255,62.35,1,Sea Cucumber,40,sinker,325,0.1997,26,53.71,96.0,88.8,76.9,0.0
256,-6.14,0,Albacore,60,mixed,452,0.1997,0,53.84,96.0,88.8,71.4,0.0
257,48.25,1,Sardine,30,dart,320,0.1997,1,53.76,96.0,88.9,71.4,0.0
258,53.90,1,Anchovy,30,dart,345,0.1997,2,53.80,96.0,88.9,71.4,0.0
259,61.22,1,Bream,35,smooth,328,0.1997,3,53.84,96.0,89.0,71.4,0.0
260,64.06,1,Perch,35,dart,368,0.1997,4,53.91,96.0,89.0,71.4,0.0
261,31.17,1,Carp,15,mixed,343,0.1997,5,53.91,96.0,89.1,71.4,0.0
262,52.17,1,Anchovy,30,dart,325,0.1997,6,53.88,96.0,89.1,71.4,0.0
263,53.50,1,Sardine,30,dart,323,0.1997,7,53.73,96.0,89.2,71.4,0.0
264,52.83,1,Anchovy,30,dart,325,0.1997,8,53.73,96.0,89.2,71.4,0.0
265,105.82,1,Blue Discus,60,dart,628,0.1997,9,54.10,96.0,89.2,73.3,0.0
266,71.45,1,Red Snapper,40,mixed,323,0.1997,10,54.31,96.0,89.2,73.3,0.0
267,52.29,1,Smallmouth Bass,28,mixed,338,0.1997,11,54.33,96.0,89.3,73.3,0.0
268,47.62,1,Herring,25,dart,338,0.1996,12,54.28,96.0,89.3,73.3,0.0
269,56.57,1,Bream,35,smooth,323,0.1996,13,54.35,96.0,89.4,73.3,0.0
270,31.77,1,Carp,15,mixed,370,0.1996,14,54.12,96.0,89.4,73.3,0.0
271,59.55,1,Perch,35,dart,323,0.1996,15,54.22,96.0,89.5,73.3,0.0
272,63.05,1,Bream,35,smooth,333,0.1996,16,54.20,96.0,89.5,73.3,0.0
273,47.46,1,Herring,25,dart,340,0.1996,17,54.09,96.0,89.5,73.3,0.0
274,65.17,1,Red Snapper,40,mixed,320,0.1996,18,54.09,96.0,89.6,73.3,0.0
275,64.21,1,Red Snapper,40,mixed,320,0.1996,19,54.31,96.0,89.6,73.3,0.0
276,52.28,1,Anchovy,30,dart,323,0.1996,20,54.24,96.0,89.7,73.3,0.0
277,67.17,1,Red Snapper,40,mixed,328,0.1996,21,54.38,96.0,89.7,73.3,0.0
278,65.11,1,Sea Cucumber,40,sinker,343,0.1996,22,54.72,96.0,89.7,73.3,0.0
279,51.23,1,Smallmouth Bass,28,mixed,335,0.1996,23,54.72,96.0,89.8,73.3,0.0
280,33.23,1,Carp,15,mixed,365,0.1996,24,54.47,96.0,89.8,73.3,0.0
281,51.77,1,Smallmouth Bass,28,mixed,335,0.1996,25,54.52,96.0,89.8,73.3,0.0
282,78.45,1,Walleye,45,smooth,328,0.1996,26,54.68,96.0,89.8,75.0,0.0
283,52.58,1,Sunfish,30,mixed,330,0.1996,27,54.67,96.0,89.9,75.0,0.0
